Mechanism,Imputation_Method,Patient,MR,Accuracy,Precision,Recall,F1_Score
MCAR,None,A1ZJ41O,05,92.72727272727272,92.72727272727272,100.0,96.22641509433963
MCAR,None,A1ZJ41O,10,75.0,78.68852459016394,94.11764705882352,85.71428571428571
MCAR,None,A1ZJ41O,15,63.63636363636363,73.68421052631578,82.35294117647058,77.77777777777779
MCAR,None,A1ZJ41O,20,60.810810810810814,66.17647058823529,88.23529411764706,75.63025210084035
MCAR,None,A1ZJ41O,25,51.24999999999999,58.57142857142858,80.3921568627451,67.76859504132233
MCAR,None,AKXN5ZZ,05,80.0,88.10572687224669,89.68609865470853,88.88888888888889
MCAR,None,AKXN5ZZ,10,72.13740458015268,82.89473684210526,84.75336322869956,83.81374722838137
MCAR,None,AKXN5ZZ,15,58.04195804195804,72.48908296943232,74.43946188340807,73.45132743362831
MCAR,None,AKXN5ZZ,20,54.31309904153354,65.38461538461539,76.23318385650224,70.39337474120083
MCAR,None,AKXN5ZZ,25,52.28758169934641,65.84362139917695,71.74887892376681,68.6695278969957
MCAR,None,AAXAA7Z,05,87.5,94.5945945945946,92.10526315789474,93.33333333333333
MCAR,None,AAXAA7Z,10,79.03225806451613,90.74074074074075,85.96491228070175,88.28828828828829
MCAR,None,AAXAA7Z,15,73.80952380952381,88.57142857142857,81.57894736842105,84.93150684931506
MCAR,None,AAXAA7Z,20,66.92307692307692,84.46601941747572,76.31578947368422,80.18433179723502
MCAR,None,AAXAA7Z,25,62.59541984732825,82.82828282828282,71.9298245614035,76.99530516431925
MCAR,None,AA2KP1S,05,84.28571428571429,95.16129032258065,88.05970149253731,91.47286821705426
MCAR,None,AA2KP1S,10,65.0,80.0,77.61194029850746,78.7878787878788
MCAR,None,AA2KP1S,15,65.82278481012658,81.25,77.61194029850746,79.38931297709924
MCAR,None,AA2KP1S,20,62.5,72.36842105263158,82.08955223880598,76.92307692307693
MCAR,None,AA2KP1S,25,56.09756097560976,75.40983606557377,68.65671641791045,71.875
MCAR,None,APGIB2T,05,83.33333333333334,92.10526315789474,89.74358974358975,90.9090909090909
MCAR,None,APGIB2T,10,73.03370786516854,85.52631578947368,83.33333333333334,84.41558441558442
MCAR,None,APGIB2T,15,63.2183908045977,85.9375,70.51282051282051,77.46478873239437
MCAR,None,APGIB2T,20,58.333333333333336,75.67567567567568,71.7948717948718,73.6842105263158
MCAR,None,APGIB2T,25,57.30337078651685,82.25806451612904,65.38461538461539,72.85714285714286
MCAR,None,AHYIJDV,05,40.57971014492754,49.122807017543856,70.0,57.73195876288659
MCAR,None,AHYIJDV,10,36.92307692307693,48.97959183673469,60.0,53.93258426966292
MCAR,None,AHYIJDV,15,26.5625,41.46341463414634,42.5,41.9753086419753
MCAR,None,AHYIJDV,20,22.666666666666664,32.69230769230769,42.5,36.95652173913044
MCAR,None,AHYIJDV,25,17.5,25.925925925925924,35.0,29.787234042553195
MCAR,None,ASFODQR,05,90.35087719298247,95.37037037037037,94.4954128440367,94.93087557603688
MCAR,None,ASFODQR,10,85.21739130434783,94.23076923076923,89.90825688073394,92.01877934272301
MCAR,None,ASFODQR,15,79.48717948717949,92.07920792079209,85.3211009174312,88.57142857142858
MCAR,None,ASFODQR,20,72.5,88.77551020408163,79.81651376146789,84.05797101449275
MCAR,None,ASFODQR,25,65.04065040650406,85.1063829787234,73.39449541284404,78.8177339901478
MCAR,None,AUY8KYW,05,74.60317460317461,79.66101694915254,92.15686274509804,85.45454545454545
MCAR,None,AUY8KYW,10,56.36363636363636,88.57142857142857,60.78431372549019,72.09302325581395
MCAR,None,AUY8KYW,15,43.39622641509434,92.0,45.09803921568628,60.526315789473685
MCAR,None,AUY8KYW,20,52.54237288135594,79.48717948717949,60.78431372549019,68.88888888888889
MCAR,None,AUY8KYW,25,52.72727272727272,87.87878787878788,56.86274509803921,69.04761904761905
MCAR,None,A3OU183,05,90.14084507042254,95.52238805970148,94.11764705882352,94.81481481481482
MCAR,None,A3OU183,10,73.75,83.09859154929578,86.76470588235294,84.89208633093526
MCAR,None,A3OU183,15,70.73170731707317,80.55555555555556,85.29411764705883,82.85714285714286
MCAR,None,A3OU183,20,57.77777777777777,70.27027027027027,76.47058823529412,73.23943661971832
MCAR,None,A3OU183,25,48.93617021276596,63.888888888888886,67.64705882352942,65.71428571428571
MCAR,None,AOYM4KG,05,87.5,94.91525423728814,91.80327868852459,93.33333333333333
MCAR,None,AOYM4KG,10,74.6268656716418,89.28571428571429,81.9672131147541,85.47008547008548
MCAR,None,AOYM4KG,15,64.38356164383562,79.66101694915254,77.04918032786885,78.33333333333333
MCAR,None,AOYM4KG,20,52.0,73.58490566037736,63.934426229508205,68.42105263157895
MCAR,None,AOYM4KG,25,45.67901234567901,64.91228070175438,60.65573770491803,62.71186440677966
MCAR,None,AV2GF3B,05,95.95959595959596,98.95833333333334,96.93877551020408,97.93814432989691
MCAR,None,AV2GF3B,10,94.94949494949495,98.94736842105263,95.91836734693877,97.40932642487047
MCAR,None,AV2GF3B,15,94.94949494949495,98.94736842105263,95.91836734693877,97.40932642487047
MCAR,None,AV2GF3B,20,89.10891089108911,96.7741935483871,91.83673469387756,94.24083769633509
MCAR,None,AV2GF3B,25,83.49514563106796,94.5054945054945,87.75510204081633,91.005291005291
MCAR,None,A0NVTRV,05,67.1875,81.13207547169812,79.62962962962963,80.37383177570095
MCAR,None,A0NVTRV,10,61.53846153846154,78.43137254901961,74.07407407407408,76.19047619047618
MCAR,None,A0NVTRV,15,55.38461538461539,76.59574468085107,66.66666666666666,71.28712871287128
MCAR,None,A0NVTRV,20,58.730158730158735,80.43478260869566,68.51851851851852,74.0
MCAR,None,A0NVTRV,25,41.66666666666667,62.5,55.55555555555556,58.82352941176471
MCAR,None,A1K5DRI,05,91.30434782608695,95.45454545454545,95.45454545454545,95.45454545454545
MCAR,None,A1K5DRI,10,78.72340425531915,92.5,84.0909090909091,88.09523809523809
MCAR,None,A1K5DRI,15,66.66666666666666,88.88888888888889,72.72727272727273,80.0
MCAR,None,A1K5DRI,20,57.692307692307686,78.94736842105263,68.18181818181817,73.17073170731707
MCAR,None,A1K5DRI,25,56.00000000000001,82.35294117647058,63.63636363636363,71.7948717948718
MCAR,None,AYEFCWQ,05,86.48648648648648,92.7536231884058,92.7536231884058,92.7536231884058
MCAR,None,AYEFCWQ,10,75.9493670886076,85.71428571428571,86.95652173913044,86.33093525179856
MCAR,None,AYEFCWQ,15,65.47619047619048,78.57142857142857,79.71014492753623,79.13669064748201
MCAR,None,AYEFCWQ,20,54.54545454545454,71.64179104477611,69.56521739130434,70.58823529411765
MCAR,None,AYEFCWQ,25,47.368421052631575,63.38028169014085,65.21739130434783,64.28571428571428
MCAR,None,AMV7EQF,05,73.84615384615385,85.71428571428571,84.21052631578947,84.95575221238938
MCAR,None,AMV7EQF,10,60.0,76.36363636363637,73.68421052631578,74.99999999999999
MCAR,None,AMV7EQF,15,57.14285714285714,75.47169811320755,70.17543859649122,72.72727272727273
MCAR,None,AMV7EQF,20,49.31506849315068,69.23076923076923,63.1578947368421,66.05504587155963
MCAR,None,AMV7EQF,25,27.380952380952383,46.0,40.35087719298245,42.99065420560748
MCAR,None,AZIK4ZA,05,54.929577464788736,82.97872340425532,61.904761904761905,70.9090909090909
MCAR,None,AZIK4ZA,10,20.8955223880597,77.77777777777779,22.22222222222222,34.5679012345679
MCAR,None,AZIK4ZA,15,28.57142857142857,100.0,28.57142857142857,44.44444444444445
MCAR,None,AZIK4ZA,20,46.03174603174603,100.0,46.03174603174603,63.04347826086957
MCAR,None,AZIK4ZA,25,68.25396825396825,100.0,68.25396825396825,81.13207547169812
MCAR,None,AJWW3IY,05,92.10526315789474,96.55172413793103,95.23809523809523,95.89041095890411
MCAR,None,AJWW3IY,10,87.66233766233766,95.07042253521126,91.83673469387756,93.42560553633218
MCAR,None,AJWW3IY,15,80.37974683544303,92.02898550724638,86.39455782312925,89.12280701754386
MCAR,None,AJWW3IY,20,76.72955974842768,91.04477611940298,82.99319727891157,86.83274021352312
MCAR,None,AJWW3IY,25,77.07006369426752,92.36641221374046,82.31292517006803,87.05035971223022
MCAR,None,AX6281V,05,64.13043478260869,74.68354430379746,81.94444444444444,78.14569536423839
MCAR,None,AX6281V,10,38.46153846153847,50.0,62.5,55.55555555555556
MCAR,None,AX6281V,15,34.92063492063492,44.89795918367347,61.111111111111114,51.764705882352935
MCAR,None,AX6281V,20,31.03448275862069,45.0,50.0,47.36842105263158
MCAR,None,AX6281V,25,30.973451327433626,46.05263157894737,48.61111111111111,47.29729729729729
MCAR,None,AYWIEKR,05,71.05263157894737,86.17021276595744,80.19801980198021,83.07692307692307
MCAR,None,AYWIEKR,10,55.371900826446286,77.01149425287356,66.33663366336634,71.27659574468086
MCAR,None,AYWIEKR,15,57.02479338842975,77.52808988764045,68.31683168316832,72.63157894736842
MCAR,None,AYWIEKR,20,46.45669291338583,69.41176470588235,58.415841584158414,63.440860215053775
MCAR,None,AYWIEKR,25,34.306569343065696,56.62650602409639,46.53465346534654,51.08695652173913
MCAR,None,ATHKM6V,05,75.0,84.61538461538461,86.8421052631579,85.71428571428572
MCAR,None,ATHKM6V,10,51.78571428571429,61.702127659574465,76.31578947368422,68.23529411764706
MCAR,None,ATHKM6V,15,40.0,49.056603773584904,68.42105263157895,57.14285714285714
MCAR,None,ATHKM6V,20,36.36363636363637,46.15384615384615,63.1578947368421,53.333333333333336
MCAR,None,ATHKM6V,25,23.61111111111111,33.33333333333333,44.73684210526316,38.20224719101123
MCAR,None,AFPB8J2,05,78.43137254901961,95.23809523809523,81.63265306122449,87.91208791208791
MCAR,None,AFPB8J2,10,73.83177570093457,89.77272727272727,80.61224489795919,84.9462365591398
MCAR,None,AFPB8J2,15,65.51724137931035,80.85106382978722,77.55102040816327,79.16666666666666
MCAR,None,AFPB8J2,20,51.09489051094891,64.22018348623854,71.42857142857143,67.6328502415459
MCAR,None,AFPB8J2,25,46.71052631578947,56.8,72.44897959183673,63.67713004484305
MCAR,None,A0VFT1N,05,83.9622641509434,91.75257731958763,90.81632653061224,91.28205128205128
MCAR,None,A0VFT1N,10,76.63551401869158,90.10989010989012,83.6734693877551,86.77248677248677
MCAR,None,A0VFT1N,15,69.64285714285714,84.78260869565217,79.59183673469387,82.10526315789473
MCAR,None,A0VFT1N,20,63.47826086956522,81.11111111111111,74.48979591836735,77.65957446808511
MCAR,None,A0VFT1N,25,56.03448275862068,78.3132530120482,66.3265306122449,71.82320441988949
MCAR,None,AURCTAK,05,76.92307692307693,93.02325581395348,81.63265306122449,86.95652173913044
MCAR,None,AURCTAK,10,65.45454545454545,85.71428571428571,73.46938775510205,79.12087912087912
MCAR,None,AURCTAK,15,57.14285714285714,82.05128205128204,65.3061224489796,72.72727272727272
MCAR,None,AURCTAK,20,46.55172413793103,75.0,55.10204081632652,63.52941176470588
MCAR,None,AURCTAK,25,37.096774193548384,63.888888888888886,46.93877551020408,54.11764705882353
MCAR,None,A36HR6Y,05,26.666666666666668,27.586206896551722,88.88888888888889,42.10526315789473
MCAR,None,A36HR6Y,10,27.586206896551722,28.57142857142857,88.88888888888889,43.24324324324324
MCAR,None,A36HR6Y,15,27.586206896551722,28.57142857142857,88.88888888888889,43.24324324324324
MCAR,None,A36HR6Y,20,29.166666666666668,31.818181818181817,77.77777777777779,45.16129032258064
MCAR,None,A36HR6Y,25,30.434782608695656,33.33333333333333,77.77777777777779,46.666666666666664
MCAR,None,A4E0D03,05,60.273972602739725,73.33333333333333,77.19298245614034,75.21367521367522
MCAR,None,A4E0D03,10,48.717948717948715,64.40677966101694,66.66666666666666,65.51724137931035
MCAR,None,A4E0D03,15,28.888888888888886,44.06779661016949,45.614035087719294,44.82758620689655
MCAR,None,A4E0D03,20,18.947368421052634,32.142857142857146,31.57894736842105,31.858407079646017
MCAR,None,A4E0D03,25,8.791208791208792,19.047619047619047,14.035087719298245,16.161616161616163
MCAR,None,AJMQUVV,05,50.0,65.4320987654321,67.94871794871796,66.66666666666667
MCAR,None,AJMQUVV,10,37.27272727272727,56.16438356164384,52.56410256410257,54.3046357615894
MCAR,None,AJMQUVV,15,29.03225806451613,43.90243902439025,46.15384615384615,45.0
MCAR,None,AJMQUVV,20,20.149253731343283,32.53012048192771,34.61538461538461,33.54037267080746
MCAR,None,AJMQUVV,25,16.78832116788321,28.04878048780488,29.48717948717949,28.749999999999996
MCAR,None,A4G0044,05,91.56626506024097,96.20253164556962,95.0,95.59748427672956
MCAR,None,A4G0044,10,83.72093023255815,92.3076923076923,90.0,91.13924050632912
MCAR,None,A4G0044,15,77.52808988764045,88.46153846153845,86.25,87.34177215189874
