mechanism,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MAR_l,5,mean,9.55,9.17,318.51,0.0005,3089.35
MAR_l,5,reg_opt_00001,10.18,9.53,568.97,0.0009,3905.17
MAR_l,5,tree_gp_10000,14.31,8.97,679.66,0.001,4324.11
MAR_l,5,mlp_opt_0001,9.19,6.47,2428.43,0.0037,8830.92
MAR_l,25,mean,13.28,13.43,314.68,0.0005,3084.4
MAR_l,25,reg_opt_00001,16.22,15.97,530.21,0.0008,3798.02
MAR_l,25,tree_gp_10000,18.21,13.17,617.24,0.0009,4144.97
MAR_l,25,mlp_opt_0001,12.61,8.57,2313.82,0.0035,8646.53
MAR_l,10,mean,10.52,10.37,324.75,0.0005,3088.08
MAR_l,10,reg_opt_00001,11.63,11.03,557.3,0.0009,3876.22
MAR_l,10,tree_gp_10000,14.89,9.5,660.13,0.001,4277.23
MAR_l,10,mlp_opt_0001,7.95,6.93,2400.46,0.0037,8781.65
MAR_l,15,mean,11.55,11.5,320.13,0.0005,3086.88
MAR_l,15,reg_opt_00001,13.13,12.57,542.35,0.0008,3849.03
MAR_l,15,tree_gp_10000,16.0,11.2,646.5,0.001,4243.85
MAR_l,15,mlp_opt_0001,8.57,7.23,2366.84,0.0036,8734.53
MAR_l,20,mean,12.46,12.57,318.71,0.0005,3085.58
MAR_l,20,reg_opt_00001,14.65,14.33,538.79,0.0008,3823.18
MAR_l,20,tree_gp_10000,16.42,11.13,629.49,0.001,4187.17
MAR_l,20,mlp_opt_0001,10.35,7.77,2333.44,0.0036,8689.16
MAR_m,15,mean,10.66,7.97,315.51,0.0005,3091.28
MAR_m,15,reg_opt_00001,5.48,3.6,547.05,0.0008,3860.54
MAR_m,15,tree_gp_10000,4.65,2.93,647.75,0.001,4244.87
MAR_m,15,mlp_opt_0001,6.56,4.9,2359.97,0.0036,8746.57
MAR_m,5,mean,10.58,7.87,317.48,0.0005,3090.93
MAR_m,5,reg_opt_00001,5.24,3.43,555.52,0.0008,3909.84
MAR_m,5,tree_gp_10000,4.42,2.77,675.76,0.001,4298.56
MAR_m,5,mlp_opt_0001,6.12,4.43,2431.3,0.0037,8835.68
MAR_m,20,mean,10.69,7.9,315.22,0.0005,3091.44
MAR_m,20,reg_opt_00001,5.59,3.73,532.91,0.0008,3837.25
MAR_m,20,tree_gp_10000,4.74,3.13,633.95,0.001,4228.41
MAR_m,20,mlp_opt_0001,6.41,4.77,2332.85,0.0036,8705.15
MAR_m,10,mean,10.61,7.93,310.31,0.0005,3091.11
MAR_m,10,reg_opt_00001,5.36,3.5,553.18,0.0008,3884.63
MAR_m,10,tree_gp_10000,4.53,2.8,665.68,0.001,4300.1
MAR_m,10,mlp_opt_0001,6.43,4.73,2393.38,0.0037,8789.84
MAR_m,25,mean,10.73,7.93,313.5,0.0005,3091.59
MAR_m,25,reg_opt_00001,5.7,3.87,525.36,0.0008,3814.88
MAR_m,25,tree_gp_10000,4.81,3.2,625.98,0.001,4212.97
MAR_m,25,mlp_opt_0001,6.93,5.13,2310.49,0.0035,8666.14
MAR_h,25,mean,9.34,7.2,319.28,0.0005,3091.4
MAR_h,25,reg_opt_00001,12.39,9.87,524.34,0.0008,3805.35
MAR_h,25,tree_gp_10000,15.45,11.97,618.84,0.0009,4097.4
MAR_h,25,mlp_opt_0001,11.46,8.83,2303.91,0.0035,8647.37
MAR_h,5,mean,8.47,7.67,319.59,0.0005,3090.93
MAR_h,5,reg_opt_00001,6.61,4.87,560.13,0.0009,3907.11
MAR_h,5,tree_gp_10000,8.85,6.77,665.42,0.001,4266.52
MAR_h,5,mlp_opt_0001,7.81,6.27,2432.69,0.0037,8816.78
MAR_h,15,mean,8.69,7.17,316.43,0.0005,3091.09
MAR_h,15,reg_opt_00001,9.88,7.8,544.51,0.0008,3853.8
MAR_h,15,tree_gp_10000,12.19,9.03,645.09,0.001,4204.53
MAR_h,15,mlp_opt_0001,9.82,8.03,2357.09,0.0036,8727.39
MAR_h,10,mean,8.54,7.47,321.49,0.0005,3091.01
MAR_h,10,reg_opt_00001,8.81,6.93,556.38,0.0009,3879.63
MAR_h,10,tree_gp_10000,11.23,8.67,656.84,0.001,4268.11
MAR_h,10,mlp_opt_0001,9.24,7.7,2396.91,0.0037,8770.68
MAR_h,20,mean,8.94,7.1,319.32,0.0005,3091.25
MAR_h,20,reg_opt_00001,11.36,9.03,535.19,0.0008,3828.74
MAR_h,20,tree_gp_10000,13.24,10.3,627.38,0.001,4129.04
MAR_h,20,mlp_opt_0001,11.0,9.0,2340.22,0.0036,8686.13
MCAR,10,mean,10.97,9.03,249.45,0.0004,3091.11
MCAR,10,reg_opt_00001,4.77,3.07,424.53,0.0006,3885.33
MCAR,10,tree_gp_10000,4.15,2.53,511.7,0.0008,4309.53
MCAR,10,mlp_opt_0001,6.2,4.23,1962.7,0.003,8791.0
MCAR,15,mean,10.97,9.07,252.02,0.0004,3091.27
MCAR,15,reg_opt_00001,4.84,3.13,412.75,0.0006,3861.47
MCAR,15,tree_gp_10000,4.2,2.57,488.17,0.0007,4237.66
MCAR,15,mlp_opt_0001,6.29,4.37,1937.95,0.003,8747.29
MCAR,5,mean,10.96,9.0,254.49,0.0004,3090.93
MCAR,5,reg_opt_00001,4.71,3.0,428.89,0.0007,3910.28
MCAR,5,tree_gp_10000,4.08,2.5,512.69,0.0008,4322.19
MCAR,5,mlp_opt_0001,5.96,4.1,1983.96,0.003,8836.74
MCAR,25,mean,10.98,9.07,250.31,0.0004,3091.59
MCAR,25,reg_opt_00001,4.96,3.17,409.19,0.0006,3816.76
MCAR,25,tree_gp_10000,4.31,2.63,477.26,0.0007,4197.27
MCAR,25,mlp_opt_0001,6.9,4.87,1895.23,0.0029,8666.58
MCAR,20,mean,10.98,9.07,251.01,0.0004,3091.43
MCAR,20,reg_opt_00001,4.9,3.17,409.57,0.0006,3838.57
MCAR,20,tree_gp_10000,4.26,2.6,490.65,0.0007,4230.9
MCAR,20,mlp_opt_0001,21.34,5.17,1915.0,0.0029,8705.94
MAR_h,5,tree-ad_gp_5000-dw_30000,7.78,5.4,607.16,0.0009,4100.76
MAR_h,10,tree-ad_gp_5000-dw_30000,10.63,7.63,590.34,0.0009,4063.96
MAR_h,15,tree-ad_gp_5000-dw_30000,12.06,8.8,573.14,0.0009,4028.83
MAR_h,25,tree-ad_gp_5000-dw_30000,15.26,11.1,540.29,0.0008,3963.53
MAR_h,20,tree-ad_gp_5000-dw_30000,14.01,10.1,557.77,0.0008,3995.65
MAR_l,5,tree-ad_gp_5000-dw_30000,32.48,27.93,609.11,0.0009,4098.73
MAR_l,10,tree-ad_gp_5000-dw_30000,32.42,27.53,591.59,0.0009,4060.07
MAR_l,15,tree-ad_gp_5000-dw_30000,31.7,26.37,574.35,0.0009,4023.2
