mechanism,patient,missing_rate,imputer,mean_rmse,med_rmse,ac_time,it_time,memory
MCAR,A1ZJ41O,10,mean,8.92,7.0,325.71,0.0004,3779.01
MCAR,A1ZJ41O,10,reg_opt_00001,3.95,2.0,550.01,0.0007,4749.89
MCAR,A1ZJ41O,10,tree_gp_10000,3.44,2.0,647.19,0.0008,5412.98
MCAR,A1ZJ41O,10,mlp_opt_0001,6.08,4.0,2466.81,0.0031,10747.64
MCAR,A1ZJ41O,15,mean,8.92,7.0,325.26,0.0004,3779.21
MCAR,A1ZJ41O,15,reg_opt_00001,3.99,2.0,546.08,0.0007,4721.05
MCAR,A1ZJ41O,15,tree_gp_10000,3.38,2.0,651.52,0.0008,5514.46
MCAR,A1ZJ41O,15,mlp_opt_0001,6.11,4.0,2468.86,0.0031,10694.51
MCAR,A1ZJ41O,5,mean,8.94,7.0,306.28,0.0004,3778.79
MCAR,A1ZJ41O,5,reg_opt_00001,3.9,2.0,548.91,0.0007,4780.57
MCAR,A1ZJ41O,5,tree_gp_10000,3.29,2.0,689.63,0.0009,5468.98
MCAR,A1ZJ41O,5,mlp_opt_0001,6.04,4.0,2543.71,0.0032,10802.36
MCAR,A1ZJ41O,25,mean,8.89,7.0,319.63,0.0004,3779.59
MCAR,A1ZJ41O,25,reg_opt_00001,4.09,2.0,518.24,0.0006,4666.19
MCAR,A1ZJ41O,25,tree_gp_10000,3.5,2.0,614.96,0.0008,5271.9
MCAR,A1ZJ41O,25,mlp_opt_0001,6.2,4.0,2420.35,0.003,10594.82
MCAR,A1ZJ41O,20,mean,8.9,7.0,309.62,0.0004,3779.41
MCAR,A1ZJ41O,20,reg_opt_00001,4.04,2.0,531.29,0.0007,4693.2
MCAR,A1ZJ41O,20,tree_gp_10000,3.44,2.0,623.31,0.0008,5325.65
MCAR,A1ZJ41O,20,mlp_opt_0001,6.15,4.0,2452.09,0.0031,10642.9
MCAR,AKXN5ZZ,20,mean,9.09,8.0,330.47,0.0004,3917.32
MCAR,AKXN5ZZ,20,reg_opt_00001,3.82,3.0,536.87,0.0006,4863.67
MCAR,AKXN5ZZ,20,tree_gp_10000,3.31,2.0,653.63,0.0008,5326.56
MCAR,AKXN5ZZ,20,mlp_opt_0001,6.12,5.0,2429.84,0.0029,11032.39
MCAR,AKXN5ZZ,25,mean,9.1,8.0,310.12,0.0004,3917.51
MCAR,AKXN5ZZ,25,reg_opt_00001,3.87,3.0,517.61,0.0006,4836.56
MCAR,AKXN5ZZ,25,tree_gp_10000,3.3,2.0,609.32,0.0007,5314.94
MCAR,AKXN5ZZ,25,mlp_opt_0001,6.19,5.0,2435.99,0.0029,10980.31
MCAR,AKXN5ZZ,10,mean,9.14,8.0,319.07,0.0004,3916.9
MCAR,AKXN5ZZ,10,reg_opt_00001,3.73,3.0,579.82,0.0007,4923.52
MCAR,AKXN5ZZ,10,tree_gp_10000,3.15,2.0,641.23,0.0008,5312.93
MCAR,AKXN5ZZ,10,mlp_opt_0001,5.98,5.0,2547.89,0.0031,11139.61
MCAR,AKXN5ZZ,15,mean,9.11,8.0,329.46,0.0004,3917.11
MCAR,AKXN5ZZ,15,reg_opt_00001,3.78,3.0,529.97,0.0006,4893.26
MCAR,AKXN5ZZ,15,tree_gp_10000,3.24,2.0,625.82,0.0008,5321.01
MCAR,AKXN5ZZ,15,mlp_opt_0001,6.01,5.0,2513.97,0.003,11083.37
MCAR,AKXN5ZZ,5,mean,9.14,8.0,352.05,0.0004,3916.67
MCAR,AKXN5ZZ,5,reg_opt_00001,3.66,3.0,554.44,0.0007,4954.92
MCAR,AKXN5ZZ,5,tree_gp_10000,3.11,2.0,667.03,0.0008,5360.62
