Mechanism,Imputation_Method,MR,Accuracy,Precision,Recall,F1_Score
MCAR,None,05,77.99180327868852,87.65545831414094,87.61510128913443,87.63527515542252
MCAR,None,10,66.52377240841777,81.24702522608281,78.59116022099447,79.8970278492862
MCAR,None,15,58.333333333333336,75.59322033898304,71.86924493554328,73.68421052631578
MCAR,None,20,53.021094029317126,70.35104364326375,68.2780847145488,69.29906542056075
MCAR,None,25,47.64747191011236,66.74864731923266,62.476979742173114,64.5422116527943
MCAR,Mean,05,85.48044217687075,91.78269801415202,92.56445672191529,92.17191977077364
MCAR,Mean,10,77.31727235606371,87.23796360285648,87.17771639042357,87.20782959124928
MCAR,Mean,15,71.61494366475588,83.5177501152605,83.40239410681399,83.46003225063349
MCAR,Mean,20,66.8952380952381,79.49298325033952,80.84714548802947,80.16434603971696
MCAR,Mean,25,62.88078224896577,77.44326076887448,76.97974217311234,77.21080581851767
MCAR,LR,05,89.137980908302,93.93385154702028,94.58256599140577,94.25709260533762
MCAR,LR,10,82.99873648743507,90.68875594416322,90.7305095150399,90.70962792481781
MCAR,LR,15,78.76166941241077,88.19369715603382,88.04481276856968,88.11919207434146
MCAR,LR,20,74.97660740542709,85.32096136294494,86.0804174340086,85.69900687547745
MCAR,LR,25,71.83117226779572,83.89738834801422,83.31798649478208,83.60668360668359
MCAR,HT,05,91.13062568605928,95.16276937184777,95.55709023941068,95.35952216861935
MCAR,HT,10,86.13076098606646,92.60198202350772,92.49539594843462,92.54865829782332
MCAR,HT,15,82.6736842105263,90.63004846526655,90.40055248618785,90.51515500749106
MCAR,HT,20,79.36605948337964,88.22789154558976,88.76611418047882,88.4961845200528
MCAR,HT,25,76.67108888662109,87.11734693877551,86.47559852670351,86.79528650646951
MCAR,HAT,05,92.35939158118146,95.88688946015425,96.1694290976059,96.02795145273998
MCAR,HAT,10,88.14044213263979,93.77421140011069,93.61878453038675,93.6964335084324
MCAR,HAT,15,85.19087881117089,92.15631929046563,91.85082872928176,92.0033204205866
