MR,Accuracy,Precision,Recall,F1_Score,i,Mechanism
05,81.198808637379,90.875,88.40697203080666,89.62399835627697,1,MCAR
10,69.3899018232819,83.71404399323181,80.21888933927848,81.92920720347755,1,MCAR
15,63.64258815474153,80.37181150021617,75.35468179975679,77.78242677824268,1,MCAR
20,58.429561200923786,75.8458244111349,71.78759627077423,73.76093294460642,1,MCAR
25,55.4002541296061,71.91752577319588,70.69314957438183,71.30008176614882,1,MCAR
05,80.09583486914855,89.83050847457628,88.08269152817186,88.94801473598035,2,MCAR
10,70.44577044577045,84.01004604437003,81.3538710985002,82.66062602965405,2,MCAR
15,61.51545363908275,77.3506059339741,75.03040129712201,76.17283950617283,2,MCAR
20,56.067083196317,74.81351469942958,69.11228212403729,71.84997892962495,2,MCAR
25,51.7453135100194,71.85816876122082,64.89663558978516,68.20021299254527,2,MCAR
05,81.13207547169812,90.28406751749691,88.89339278475882,89.58333333333333,3,MCAR
10,69.75113915177008,83.75420875420876,80.66477503040129,82.1804666529011,3,MCAR
15,60.85667215815486,76.48033126293996,74.86826104580462,75.66571077427284,3,MCAR
20,57.36859077716866,73.72565271446332,72.111876773409,72.90983606557376,3,MCAR
25,53.074739829706715,70.50691244239631,68.22051074179166,69.34487021013597,3,MCAR
05,79.63570127504553,88.71753246753246,88.60964734495337,88.66355708781181,4,MCAR
10,69.70426409903713,82.13128038897894,82.16457235508715,82.14792299898683,4,MCAR
15,61.17411607738492,77.5475687103594,74.3413052290231,75.91059602649007,4,MCAR
20,57.04387990762124,75.40340165721761,70.08512363194163,72.6470588235294,4,MCAR
25,53.106084740363166,71.26977340743908,67.5719497365221,69.37161880982107,4,MCAR
05,81.85171523423091,90.0933820544052,89.94730441832185,90.02028397565923,5,MCAR
10,72.3292469352014,84.18263350998777,83.70490474260235,83.94308943089432,5,MCAR
15,65.20854526958291,79.95841995841995,77.94892582083503,78.9408866995074,5,MCAR
20,57.26247987117552,73.59271523178808,72.07134171057965,72.82408355519148,5,MCAR
25,52.14329454990815,68.06554756195044,69.0312119983786,68.54497886898771,5,MCAR
05,76.5619223659889,89.69250757903855,83.94811511957843,86.7252931323283,1,MAR_l
10,64.75786496995404,83.50045578851413,74.26023510336441,78.60974039905601,1,MAR_l
15,56.00000000000001,79.78196233894946,65.26145115524929,71.7948717948718,1,MAR_l
20,48.78466278671688,75.8382118147951,57.76246453182002,65.57754256787851,1,MAR_l
25,43.14584035028629,71.84520471116096,51.925415484394,60.28235294117646,1,MAR_l
05,76.5619223659889,89.69250757903855,83.94811511957843,86.7252931323283,2,MAR_l
10,64.75786496995404,83.50045578851413,74.26023510336441,78.60974039905601,2,MAR_l
15,56.00000000000001,79.78196233894946,65.26145115524929,71.7948717948718,2,MAR_l
20,48.78466278671688,75.8382118147951,57.76246453182002,65.57754256787851,2,MAR_l
25,43.14584035028629,71.84520471116096,51.925415484394,60.28235294117646,2,MAR_l
05,76.5619223659889,89.69250757903855,83.94811511957843,86.7252931323283,3,MAR_l
10,64.75786496995404,83.50045578851413,74.26023510336441,78.60974039905601,3,MAR_l
15,56.00000000000001,79.78196233894946,65.26145115524929,71.7948717948718,3,MAR_l
20,48.78466278671688,75.8382118147951,57.76246453182002,65.57754256787851,3,MAR_l
25,43.14584035028629,71.84520471116096,51.925415484394,60.28235294117646,3,MAR_l
05,76.5619223659889,89.69250757903855,83.94811511957843,86.7252931323283,4,MAR_l
10,64.75786496995404,83.50045578851413,74.26023510336441,78.60974039905601,4,MAR_l
15,56.00000000000001,79.78196233894946,65.26145115524929,71.7948717948718,4,MAR_l
20,48.78466278671688,75.8382118147951,57.76246453182002,65.57754256787851,4,MAR_l
25,43.14584035028629,71.84520471116096,51.925415484394,60.28235294117646,4,MAR_l
05,76.5619223659889,89.69250757903855,83.94811511957843,86.7252931323283,5,MAR_l
10,64.75786496995404,83.50045578851413,74.26023510336441,78.60974039905601,5,MAR_l
15,56.00000000000001,79.78196233894946,65.26145115524929,71.7948717948718,5,MAR_l
20,48.78466278671688,75.8382118147951,57.76246453182002,65.57754256787851,5,MAR_l
25,43.14584035028629,71.84520471116096,51.925415484394,60.28235294117646,5,MAR_l
