MR,Accuracy,Precision,Recall,F1_Score,i,Mechanism
05,77.99180327868852,87.65545831414094,87.61510128913443,87.63527515542252,1,MCAR
10,66.52377240841777,81.24702522608281,78.59116022099447,79.8970278492862,1,MCAR
15,58.333333333333336,75.59322033898304,71.86924493554328,73.68421052631578,1,MCAR
20,53.021094029317126,70.35104364326375,68.2780847145488,69.29906542056075,1,MCAR
25,47.64747191011236,66.74864731923266,62.476979742173114,64.5422116527943,1,MCAR
05,79.9581589958159,89.76045091592297,87.98342541436463,88.86305510346432,2,MCAR
10,68.41477949940405,83.30914368650217,79.28176795580112,81.24557678697806,2,MCAR
15,61.773700305810394,78.44660194174757,74.40147329650092,76.37051039697543,2,MCAR
20,53.815113719735876,72.58782780801583,67.5414364640884,69.9737658001431,2,MCAR
25,48.75045273451648,69.56072351421189,61.97053406998159,65.54662770878988,2,MCAR
05,80.15170670037926,90.44222539229672,87.56906077348067,88.98245614035088,3,MCAR
10,70.23666265543523,84.50772200772201,80.6169429097606,82.51649387370406,3,MCAR
15,61.58301158301158,79.23497267759562,73.43462246777163,76.22461170848267,3,MCAR
20,54.50757575757576,75.45883586785527,66.25230202578268,70.55650894827164,3,MCAR
25,48.35732742709487,70.92582566323769,60.31307550644567,65.1903458571784,3,MCAR
05,79.59183673469387,89.29906542056075,87.98342541436463,88.63636363636363,4,MCAR
10,67.00706991358994,82.01923076923077,78.54511970534071,80.24459078080903,4,MCAR
15,59.257842387146134,77.80010045203414,71.31675874769797,74.41748738890223,4,MCAR
20,54.278369445464556,72.8437654016757,68.04788213627992,70.36419900023803,4,MCAR
25,47.24522866402593,68.44027125717267,60.40515653775322,64.17216923453168,4,MCAR
05,78.79417879417879,89.05075187969925,87.24677716390423,88.13953488372094,5,MCAR
10,69.55484896661368,83.57211079274116,80.57090239410681,82.04406938584154,5,MCAR
15,60.6951871657754,78.08353808353809,73.15837937384899,75.54076539101497,5,MCAR
