mechanism,missing_rate,imputer,rmse,time
MCAR,05,mean,12.22,111.36
MCAR,05,reg_opt_001,5.34,294.91
MCAR,05,reg_opt_0001,6.26,285.68
MCAR,05,reg_opt_00001,6.42,293.27
MCAR,05,tree_gp_1000,6.58,403.46
MCAR,05,tree_gp_10000,5.56,381.44
MCAR,05,knn_k_10,4.24,7390.1
MCAR,05,knn_k_100,4.75,7540.2
MCAR,05,mlp_opt_001,6.43,1524.76
MCAR,05,mlp_opt_0001,9.48,1524.56
MCAR,25,mean,12.11,89.76
MCAR,25,reg_opt_001,5.63,302.12
MCAR,25,reg_opt_0001,6.57,274.5
MCAR,25,reg_opt_00001,6.72,262.23
MCAR,25,tree_gp_1000,6.99,369.23
MCAR,25,tree_gp_10000,5.82,350.31
MCAR,25,knn_k_10,3.79,7136.93
MCAR,25,knn_k_100,4.89,8073.8
MCAR,25,mlp_opt_001,7.26,1471.51
MCAR,25,mlp_opt_0001,9.62,1468.84
MAR_l,25,mean,11.08,88.68
MAR_l,25,reg_opt_001,25.47,273.36
MAR_l,25,reg_opt_0001,14.69,281.51
MAR_l,25,reg_opt_00001,11.75,275.42
MAR_l,25,tree_gp_1000,16.86,397.05
MAR_l,25,tree_gp_10000,18.11,374.32
MAR_l,25,knn_k_10,12.74,5587.26
MAR_l,25,knn_k_100,11.91,7202.26
MAR_l,25,mlp_opt_001,12.67,1496.08
MAR_l,25,mlp_opt_0001,10.82,1476.08
MAR_l,05,mean,11.5,77.51
MAR_l,05,reg_opt_001,25.61,302.15
MAR_l,05,reg_opt_0001,14.86,297.2
MAR_l,05,reg_opt_00001,12.92,306.17
MAR_l,05,tree_gp_1000,19.7,404.83
MAR_l,05,tree_gp_10000,23.35,362.4
MAR_l,05,knn_k_10,12.76,7277.64
MAR_l,05,knn_k_100,11.72,7577.87
MAR_l,05,mlp_opt_001,13.24,1510.11
MAR_l,05,mlp_opt_0001,10.61,1500.71
MAR_m,05,mean,12.41,71.34
MAR_m,05,reg_opt_001,5.64,291.51
MAR_m,05,reg_opt_0001,6.69,280.48
MAR_m,05,reg_opt_00001,6.88,283.36
MAR_m,05,tree_gp_1000,7.13,362.42
MAR_m,05,tree_gp_10000,5.94,379.47
MAR_m,05,knn_k_10,4.05,7278.8
MAR_m,05,knn_k_100,4.72,7510.61
MAR_m,05,mlp_opt_001,6.9,1500.31
MAR_m,05,mlp_opt_0001,9.97,1519.69
MAR_m,25,mean,12.57,71.71
MAR_m,25,reg_opt_001,6.25,258.86
MAR_m,25,reg_opt_0001,7.33,261.02
MAR_m,25,reg_opt_00001,7.51,261.44
MAR_m,25,tree_gp_1000,7.71,358.08
MAR_m,25,tree_gp_10000,6.43,363.15
MAR_m,25,knn_k_10,4.23,7062.94
MAR_m,25,knn_k_100,5.46,8009.56
MAR_m,25,mlp_opt_001,7.53,1471.21
MAR_m,25,mlp_opt_0001,10.37,1446.88
MAR_h,25,mean,12.14,72.69
MAR_h,25,reg_opt_001,17.23,294.26
MAR_h,25,reg_opt_0001,14.53,265.99
MAR_h,25,reg_opt_00001,13.87,266.97
MAR_h,25,tree_gp_1000,42.17,393.09
MAR_h,25,tree_gp_10000,18.4,371.55
MAR_h,25,knn_k_10,15.19,5385.54
MAR_h,25,knn_k_100,13.57,6587.76
MAR_h,25,mlp_opt_001,13.88,1476.75
MAR_h,25,mlp_opt_0001,12.02,1477.5
MAR_h,05,mean,12.06,70.21
MAR_h,05,reg_opt_001,12.94,283.63
MAR_h,05,reg_opt_0001,12.08,298.68
MAR_h,05,reg_opt_00001,11.9,284.31
MAR_h,05,tree_gp_1000,12.29,429.92
MAR_h,05,tree_gp_10000,12.83,351.33
MAR_h,05,knn_k_10,12.47,7310.11
MAR_h,05,knn_k_100,11.57,7511.1
MAR_h,05,mlp_opt_001,11.85,1493.98
MAR_h,05,mlp_opt_0001,10.92,1543.56
MNAR_l,05,mean,18.69,70.13
MNAR_l,05,reg_opt_001,8.38,284.74
MNAR_l,05,reg_opt_0001,8.41,311.13
MNAR_l,05,reg_opt_00001,8.55,282.37
MNAR_l,05,tree_gp_1000,10.52,434.97
MNAR_l,05,tree_gp_10000,8.68,379.66
MNAR_l,05,knn_k_10,8.65,6995.65
MNAR_l,05,knn_k_100,9.12,7281.63
MNAR_l,05,mlp_opt_001,8.58,1501.98
MNAR_l,05,mlp_opt_0001,10.38,1487.07
MNAR_l,25,mean,17.2,111.61
MNAR_l,25,reg_opt_001,11.04,264.75
MNAR_l,25,reg_opt_0001,11.0,260.8
MNAR_l,25,reg_opt_00001,11.13,290.46
MNAR_l,25,tree_gp_1000,12.73,379.03
MNAR_l,25,tree_gp_10000,11.35,360.53
MNAR_l,25,knn_k_10,10.92,6325.16
MNAR_l,25,knn_k_100,11.56,7452.08
MNAR_l,25,mlp_opt_001,11.26,1437.05
MNAR_l,25,mlp_opt_0001,12.18,1509.61
MNAR_m,05,mean,34.31,107.27
MNAR_m,05,reg_opt_001,24.34,291.69
MNAR_m,05,reg_opt_0001,25.17,314.31
MNAR_m,05,reg_opt_00001,25.35,288.34
MNAR_m,05,tree_gp_1000,27.9,401.41
MNAR_m,05,tree_gp_10000,25.59,385.94
MNAR_m,05,knn_k_10,27.87,7124.02
MNAR_m,05,knn_k_100,29.25,7324.39
MNAR_m,05,mlp_opt_001,25.38,1526.78
MNAR_m,05,mlp_opt_0001,30.97,1527.9
MNAR_m,25,mean,22.1,72.28
MNAR_m,25,reg_opt_001,17.69,281.27
MNAR_m,25,reg_opt_0001,18.15,263.92
MNAR_m,25,reg_opt_00001,18.23,282.69
MNAR_m,25,tree_gp_1000,19.21,355.18
MNAR_m,25,tree_gp_10000,17.98,358.82
